epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.1661,3.46174,0.11111,0.25,3.39008,5.88e-05,5.88e-05,5.88e-05
2,56.112,3.1288,0.31944,0.58333,2.89189,0.000118153,0.000118153,0.000118153
3,88.007,2.62577,0.38889,0.70833,2.57611,0.000175062,0.000175062,0.000175062
4,115.114,2.06899,0.56944,0.88889,1.66144,0.000229525,0.000229525,0.000229525
5,140.662,1.50372,0.59722,0.88889,1.00503,0.000270715,0.000270715,0.000270715
6,165.108,1.09032,0.68056,0.95833,0.91266,0.000264894,0.000264894,0.000264894
7,189.231,0.82929,0.69444,0.95833,1.07687,0.000259073,0.000259073,0.000259073
8,214.149,0.62297,0.76389,0.97222,0.66905,0.000253252,0.000253252,0.000253252
9,238.476,0.50797,0.75,0.98611,0.76087,0.00024743,0.00024743,0.00024743
10,261.938,0.45134,0.76389,0.94444,0.74496,0.000241609,0.000241609,0.000241609
11,285.669,0.37686,0.84722,0.97222,0.87149,0.000235788,0.000235788,0.000235788
12,309.871,0.29179,0.83333,0.97222,0.54515,0.000229967,0.000229967,0.000229967
13,341.163,0.30871,0.77778,0.97222,0.56226,0.000224146,0.000224146,0.000224146
14,369.101,0.2163,0.83333,0.97222,0.57272,0.000218324,0.000218324,0.000218324
15,397.449,0.24011,0.81944,0.95833,0.85805,0.000212503,0.000212503,0.000212503
16,423.847,0.24836,0.80556,0.95833,0.60226,0.000206682,0.000206682,0.000206682
17,448.93,0.18102,0.83333,0.95833,0.43169,0.000200861,0.000200861,0.000200861
18,474.294,0.16397,0.79167,0.97222,0.77722,0.00019504,0.00019504,0.00019504
19,500.215,0.14916,0.81944,0.95833,0.41745,0.000189218,0.000189218,0.000189218
20,525.697,0.13065,0.80556,0.95833,0.55089,0.000183397,0.000183397,0.000183397
21,550.936,0.1297,0.84722,0.95833,0.59431,0.000177576,0.000177576,0.000177576
22,577.224,0.11609,0.83333,0.97222,0.48479,0.000171755,0.000171755,0.000171755
23,602.771,0.13338,0.80556,0.97222,0.52324,0.000165934,0.000165934,0.000165934
24,630.177,0.12239,0.80556,0.97222,0.77408,0.000160112,0.000160112,0.000160112
25,654.602,0.1071,0.80556,0.97222,0.58278,0.000154291,0.000154291,0.000154291
26,679.701,0.09137,0.83333,0.97222,0.67935,0.00014847,0.00014847,0.00014847
27,705.445,0.10729,0.83333,0.97222,0.48273,0.000142649,0.000142649,0.000142649
28,730.378,0.09356,0.83333,0.98611,0.40778,0.000136828,0.000136828,0.000136828
29,756.371,0.09929,0.875,0.97222,0.62271,0.000131006,0.000131006,0.000131006
30,781.805,0.07001,0.80556,0.97222,0.386,0.000125185,0.000125185,0.000125185
31,808.312,0.08946,0.81944,0.95833,0.53249,0.000119364,0.000119364,0.000119364
32,834.66,0.09409,0.84722,0.95833,0.41782,0.000113543,0.000113543,0.000113543
33,860.723,0.06893,0.84722,0.95833,0.40498,0.000107722,0.000107722,0.000107722
34,885.492,0.06139,0.81944,0.95833,0.60981,0.0001019,0.0001019,0.0001019
35,910.441,0.07407,0.83333,0.95833,0.58549,9.60792e-05,9.60792e-05,9.60792e-05
36,936.032,0.07728,0.81944,0.95833,0.35244,9.0258e-05,9.0258e-05,9.0258e-05
37,962.697,0.09665,0.84722,0.95833,0.41697,8.44368e-05,8.44368e-05,8.44368e-05
38,988.357,0.07963,0.86111,0.95833,0.44272,7.86156e-05,7.86156e-05,7.86156e-05
39,1013.68,0.08288,0.84722,0.97222,0.67321,7.27944e-05,7.27944e-05,7.27944e-05
40,1038.79,0.06632,0.875,0.97222,0.4797,6.69732e-05,6.69732e-05,6.69732e-05
41,1064.51,0.05926,0.86111,0.95833,0.61835,6.1152e-05,6.1152e-05,6.1152e-05
42,1090.94,0.05522,0.875,0.95833,0.37284,5.53308e-05,5.53308e-05,5.53308e-05
43,1117.29,0.05973,0.88889,0.97222,0.78481,4.95096e-05,4.95096e-05,4.95096e-05
44,1143.46,0.05917,0.86111,0.97222,0.41869,4.36884e-05,4.36884e-05,4.36884e-05
45,1168.29,0.04235,0.86111,0.97222,0.82906,3.78672e-05,3.78672e-05,3.78672e-05
46,1193.1,0.04572,0.86111,0.97222,0.75726,3.2046e-05,3.2046e-05,3.2046e-05
47,1218.07,0.06956,0.875,0.97222,0.69716,2.62248e-05,2.62248e-05,2.62248e-05
48,1242.79,0.06892,0.86111,0.97222,0.65652,2.04036e-05,2.04036e-05,2.04036e-05
49,1267.3,0.05674,0.86111,0.97222,0.6955,1.45824e-05,1.45824e-05,1.45824e-05
50,1293.39,0.0537,0.83333,0.97222,0.523,8.7612e-06,8.7612e-06,8.7612e-06
